data	vari	bloc	sup	med	inf
2010-01-11	CD 214 RR	2	3	7	4
2010-01-11	CD 214 RR	3	4	16	8
2010-01-11	CD 214 RR	4	1	0	4
2010-01-11	CD 202	1	12	2	0
2010-01-11	CD 202	2	7	1	4
2010-01-11	CD 202	3	1	0	0
2010-01-11	CD 202	4	3	1	0
2010-01-11	M 7908 RR	1	2	9	3
2010-01-11	M 7908 RR	2	11	6	4
2010-01-11	M 7908 RR	3	4	1	1
2010-01-11	M 7908 RR	4	55	10	0
2010-01-11	VMAX RR	1	1	1	1
2010-01-11	VMAX RR	2	23	7	0
2010-01-11	VMAX RR	3	5	1	4
2010-01-11	VMAX RR	4	10	0	0
2010-01-11	CD 219 RR	1	65	12	4
2010-01-11	CD 219 RR	2	217	145	27
2010-01-11	CD 219 RR	3	10	2	1
2010-01-11	CD 219 RR	4	11	4	0
2010-01-18	BRS 245 RR	1	5	9	12
2010-01-18	BRS 245 RR	2	3	0	1
2010-01-18	BRS 245 RR	3	0	0	0
2010-01-18	BRS 245 RR	4	3	2	1
2010-01-18	BRS 243 RR	1	6	0	7
2010-01-18	BRS 243 RR	2	1	0	0
2010-01-18	BRS 243 RR	3	0	0	0
2010-01-18	BRS 243 RR	4	0	0	0
2010-01-18	BRS 246 RR	1	5	2	10
2010-01-18	BRS 246 RR	2	1	0	0
2010-01-18	BRS 246 RR	3	0	0	0
2010-01-18	BRS 246 RR	4	0	0	0
2010-01-18	BRS 239	1	3	1	0
2010-01-18	BRS 239	2	1	0	0
2010-01-18	BRS 239	3	0	0	0
2010-01-18	BRS 239	4	2	9	3
2010-01-18	EMBRAPA 48	1	1	6	4
2010-01-18	EMBRAPA 48	2	0	1	0
2010-01-18	EMBRAPA 48	3	0	0	0
2010-01-18	EMBRAPA 48	4	2	1	4
2010-01-18	CD 214 RR	1	5	2	4
2010-01-18	CD 214 RR	2	3	2	2
2010-01-18	CD 214 RR	3	0	0	2
2010-01-18	CD 214 RR	4	0	0	0
2010-01-18	CD 202	1	1	9	6
2010-01-18	CD 202	2	0	0	1
2010-01-18	CD 202	3	0	0	0
2010-01-18	CD 202	4	0	2	1
2010-01-18	M 7908 RR	1	3	1	13
2010-01-18	M 7908 RR	2	5	0	0
2010-01-18	M 7908 RR	3	1	0	0
2010-01-18	M 7908 RR	4	2	0	0
2010-01-18	VMAX RR	1	0	1	0
2010-01-18	VMAX RR	2	13	3	0
2010-01-18	VMAX RR	3	1	0	0
2010-01-18	VMAX RR	4	6	1	3
2010-01-18	CD 219 RR	1	49	12	2
2010-01-18	CD 219 RR	2	110	42	28
2010-01-18	CD 219 RR	3	7	3	0
2010-01-18	CD 219 RR	4	4	3	4
