periodo	box	luz	gaiola	dia	ovos	massa
1	4	branco	2	7	6	396
1	4	branco	3	7	7	466
1	4	branco	4	7	9	591
1	4	branco	5	7	9	570
1	4	branco	6	7	8	507
1	5	vermelho	1	7	10	658
1	5	vermelho	2	7	6	403
1	5	vermelho	3	7	7	452
1	5	vermelho	4	7	9	606
1	5	vermelho	5	7	9	564
1	5	vermelho	6	7	9	583
1	1	verde	1	8	7	463
1	1	verde	2	8	6	310
1	1	verde	3	8	8	519
1	1	verde	4	8	9	567
1	1	verde	5	8	10	685
1	1	verde	6	8	6	392
1	2	amarelo	1	8	8	572
1	2	amarelo	2	8	8	509
1	2	amarelo	3	8	7	449
1	2	amarelo	4	8	9	586
1	2	amarelo	5	8	7	459
1	2	amarelo	6	8	7	448
1	3	azul	1	8	6	375
1	3	azul	2	8	8	548
1	3	azul	3	8	7	465
1	3	azul	4	8	7	448
1	3	azul	5	8	6	389
1	3	azul	6	8	6	415
1	4	branco	1	8	10	648
1	4	branco	2	8	10	652
1	4	branco	3	8	7	451
1	4	branco	4	8	7	470
1	4	branco	5	8	9	578
1	4	branco	6	8	7	443
1	5	vermelho	1	8	9	578
1	5	vermelho	2	8	7	444
1	5	vermelho	3	8	8	507
1	5	vermelho	4	8	9	585
1	5	vermelho	5	8	7	441
1	5	vermelho	6	8	9	567
1	1	verde	1	9	8	523
1	1	verde	2	9	9	585
1	1	verde	3	9	8	524
1	1	verde	4	9	8	519
1	1	verde	5	9	7	480
1	1	verde	6	9	7	447
1	2	amarelo	1	9	9	600
1	2	amarelo	2	9	6	374
1	2	amarelo	3	9	8	525
1	2	amarelo	4	9	9	579
1	2	amarelo	5	9	8	518
1	2	amarelo	6	9	7	434
1	3	azul	1	9	9	561
1	3	azul	2	9	8	564
1	3	azul	3	9	8	534
1	3	azul	4	9	7	462
1	3	azul	5	9	6	382
1	3	azul	6	9	8	547
1	4	branco	1	9	8	518
1	4	branco	2	9	6	377
1	4	branco	3	9	8	539
1	4	branco	4	9	8	543
1	4	branco	5	9	7	459
1	4	branco	6	9	8	506
1	5	vermelho	1	9	10	651
1	5	vermelho	2	9	8	512
1	5	vermelho	3	9	9	579
1	5	vermelho	4	9	5	314
1	5	vermelho	5	9	9	568
1	5	vermelho	6	9	9	564
1	1	verde	1	10	7	447
1	1	verde	2	10	6	403
1	1	verde	3	10	8	502
1	1	verde	4	10	9	559
1	1	verde	5	10	9	615
1	1	verde	6	10	7	477
1	2	amarelo	1	10	8	538
1	2	amarelo	2	10	8	539
1	2	amarelo	3	10	9	597
1	2	amarelo	4	10	7	464
1	2	amarelo	5	10	7	464
1	2	amarelo	6	10	5	327
1	3	azul	1	10	9	550
1	3	azul	2	10	7	468
1	3	azul	3	10	7	464
1	3	azul	4	10	8	493
1	3	azul	5	10	9	572
1	3	azul	6	10	9	599
1	4	branco	1	10	9	587
1	4	branco	2	10	7	441
1	4	branco	3	10	9	587
1	4	branco	4	10	5	335
1	4	branco	5	10	10	656
1	4	branco	6	10	8	498
1	5	vermelho	1	10	9	585
1	5	vermelho	2	10	8	515
1	5	vermelho	3	10	7	452
1	5	vermelho	4	10	9	581
1	5	vermelho	5	10	6	371
1	5	vermelho	6	10	7	441
1	1	verde	1	11	9	581
1	1	verde	2	11	6	391
1	1	verde	3	11	9	573
1	1	verde	4	11	9	622
1	1	verde	5	11	7	469
1	1	verde	6	11	7	454
1	2	amarelo	1	11	5	356
1	2	amarelo	2	11	8	500
1	2	amarelo	3	11	7	455
1	2	amarelo	4	11	8	518
1	2	amarelo	5	11	8	505
1	2	amarelo	6	11	6	406
1	3	azul	1	11	7	433
1	3	azul	2	11	6	415
1	3	azul	3	11	9	599
1	3	azul	4	11	9	570
1	3	azul	5	11	5	310
1	3	azul	6	11	7	485
1	4	branco	1	11	7	441
1	4	branco	2	11	8	507
1	4	branco	3	11	8	507
1	4	branco	4	11	7	446
1	4	branco	5	11	9	589
1	4	branco	6	11	8	515
1	5	vermelho	1	11	8	507
1	5	vermelho	2	11	7	463
1	5	vermelho	3	11	6	391
1	5	vermelho	4	11	7	461
1	5	vermelho	5	11	7	427
1	5	vermelho	6	11	9	579
1	1	verde	1	12	8	509
1	1	verde	2	12	9	616
1	1	verde	3	12	9	588
1	1	verde	4	12	8	503
1	1	verde	5	12	7	517
1	1	verde	6	12	5	312
1	2	amarelo	1	12	9	630
1	2	amarelo	2	12	8	542
1	2	amarelo	3	12	7	451
1	2	amarelo	4	12	8	546
1	2	amarelo	5	12	8	529
1	2	amarelo	6	12	7	470
1	3	azul	1	12	8	496
1	3	azul	2	12	7	481
1	3	azul	3	12	7	436
1	3	azul	4	12	6	384
1	3	azul	5	12	7	475
1	3	azul	6	12	5	356
1	4	branco	1	12	7	448
1	4	branco	2	12	8	521
1	4	branco	3	12	9	609
1	4	branco	4	12	8	519
1	4	branco	5	12	9	578
1	4	branco	6	12	6	398
1	5	vermelho	1	12	9	598
1	5	vermelho	2	12	8	505
1	5	vermelho	3	12	7	441
1	5	vermelho	4	12	10	668
1	5	vermelho	5	12	5	318
1	5	vermelho	6	12	8	532
1	1	verde	1	13	10	648
1	1	verde	2	13	7	450
1	1	verde	3	13	8	514
1	1	verde	4	13	9	586
1	1	verde	5	13	8	557
1	1	verde	6	13	7	457
1	2	amarelo	1	13	9	608
1	2	amarelo	2	13	8	529
1	2	amarelo	3	13	5	332
1	2	amarelo	4	13	7	425
1	2	amarelo	5	13	6	381
1	2	amarelo	6	13	6	411
1	3	azul	1	13	7	434
1	3	azul	2	13	9	590
1	3	azul	3	13	4	252
1	3	azul	4	13	9	583
1	3	azul	5	13	7	453
1	3	azul	6	13	9	606
1	4	branco	1	13	8	502
1	4	branco	2	13	5	303
1	4	branco	3	13	7	444
1	4	branco	4	13	5	336
1	4	branco	5	13	7	446
1	4	branco	6	13	7	445
1	5	vermelho	1	13	10	645
1	5	vermelho	2	13	8	537
1	5	vermelho	3	13	8	501
1	5	vermelho	4	13	7	436
1	5	vermelho	5	13	7	426
1	5	vermelho	6	13	8	523
1	1	verde	1	14	6	367
1	1	verde	2	14	7	444
1	1	verde	3	14	7	445
1	1	verde	4	14	8	509
1	1	verde	5	14	6	436
1	1	verde	6	14	7	432
1	2	amarelo	1	14	9	596
1	2	amarelo	2	14	8	544
1	2	amarelo	3	14	6	404
1	2	amarelo	4	14	8	512
1	2	amarelo	5	14	8	514
1	2	amarelo	6	14	6	408
1	3	azul	1	14	8	487
1	3	azul	2	14	8	515
1	3	azul	3	14	9	584
1	3	azul	4	14	7	463
1	3	azul	5	14	8	523
1	3	azul	6	14	9	624
1	4	branco	1	14	9	581
1	4	branco	2	14	8	521
1	4	branco	3	14	7	444
1	4	branco	4	14	8	525
1	4	branco	5	14	10	653
1	4	branco	6	14	8	505
1	5	vermelho	1	14	9	603
1	5	vermelho	2	14	7	444
1	5	vermelho	3	14	9	572
1	5	vermelho	4	14	7	442
1	5	vermelho	5	14	8	491
1	5	vermelho	6	14	9	593
2	1	amarelo	1	1	9	555
2	1	amarelo	2	1	7	451
2	1	amarelo	3	1	6	414
2	1	amarelo	4	1	8	490
2	1	amarelo	5	1	7	434
2	1	amarelo	6	1	7	437
2	2	branco	1	1	9	589
2	2	branco	2	1	9	571
2	2	branco	3	1	7	430
2	2	branco	4	1	8	496
2	2	branco	5	1	6	414
2	2	branco	6	1	7	455
2	3	vermelho	1	1	7	493
2	3	vermelho	2	1	9	639
2	3	vermelho	3	1	9	607
2	3	vermelho	4	1	6	420
2	3	vermelho	5	1	9	585
2	3	vermelho	6	1	8	541
2	4	azul	1	1	9	560
2	4	azul	2	1	9	578
2	4	azul	3	1	9	553
2	4	azul	4	1	7	469
2	4	azul	5	1	10	638
2	4	azul	6	1	9	558
2	5	verde	1	1	9	560
2	5	verde	2	1	7	469
2	5	verde	3	1	9	546
2	5	verde	4	1	9	564
2	5	verde	5	1	8	482
2	5	verde	6	1	7	455
2	1	amarelo	1	2	8	496
2	1	amarelo	2	2	7	464
2	1	amarelo	3	2	8	522
2	1	amarelo	4	2	9	561
2	1	amarelo	5	2	8	558
2	1	amarelo	6	2	7	495
2	2	branco	1	2	6	411
2	2	branco	2	2	10	663
2	2	branco	3	2	7	462
2	2	branco	4	2	6	378
2	2	branco	5	2	10	652
2	2	branco	6	2	6	394
2	3	vermelho	1	2	9	557
2	3	vermelho	2	2	7	477
2	3	vermelho	3	2	8	500
2	3	vermelho	4	2	8	534
2	3	vermelho	5	2	6	392
2	3	vermelho	6	2	6	376
2	4	azul	1	2	8	536
2	4	azul	2	2	7	474
2	4	azul	3	2	6	370
2	4	azul	4	2	6	385
2	4	azul	5	2	9	591
2	4	azul	6	2	8	493
2	5	verde	1	2	9	620
2	5	verde	2	2	7	453
2	5	verde	3	2	7	438
2	5	verde	4	2	10	661
2	5	verde	5	2	5	320
2	5	verde	6	2	8	505
2	1	amarelo	1	3	8	510
2	1	amarelo	2	3	9	565
2	1	amarelo	3	3	7	450
2	1	amarelo	4	3	9	550
2	1	amarelo	5	3	8	557
2	1	amarelo	6	3	6	394
2	2	branco	1	3	9	601
2	2	branco	2	3	8	543
2	2	branco	3	3	7	453
2	2	branco	4	3	8	510
2	2	branco	5	3	8	489
2	2	branco	6	3	8	518
2	3	vermelho	1	3	4	246
2	3	vermelho	2	3	6	420
2	3	vermelho	3	3	7	454
2	3	vermelho	4	3	9	574
2	3	vermelho	5	3	6	380
2	3	vermelho	6	3	9	602
2	4	azul	1	3	9	568
2	4	azul	2	3	8	534
2	4	azul	3	3	7	462
2	4	azul	4	3	8	454
2	4	azul	5	3	9	596
2	4	azul	6	3	5	309
2	5	verde	1	3	9	603
2	5	verde	2	3	7	454
2	5	verde	3	3	8	492
2	5	verde	4	3	6	378
2	5	verde	5	3	9	539
2	5	verde	6	3	9	562
2	1	amarelo	1	4	5	313
2	1	amarelo	2	4	10	633
2	1	amarelo	3	4	6	375
2	1	amarelo	4	4	8	490
2	1	amarelo	5	4	10	700
2	1	amarelo	6	4	6	406
2	2	branco	1	4	8	541
2	2	branco	2	4	8	512
2	2	branco	3	4	9	622
2	2	branco	4	4	7	457
2	2	branco	5	4	8	504
2	2	branco	6	4	5	316
2	3	vermelho	1	4	6	381
2	3	vermelho	2	4	8	547
2	3	vermelho	3	4	9	576
2	3	vermelho	4	4	6	381
2	3	vermelho	5	4	7	484
2	3	vermelho	6	4	6	399
2	4	azul	1	4	8	521
2	4	azul	2	4	9	552
2	4	azul	3	4	8	523
2	4	azul	4	4	7	472
2	4	azul	5	4	9	600
2	4	azul	6	4	6	379
2	5	verde	1	4	8	524
2	5	verde	2	4	8	506
2	5	verde	3	4	9	581
2	5	verde	4	4	10	664
2	5	verde	5	4	9	539
2	5	verde	6	4	7	454
2	1	amarelo	1	5	8	510
2	1	amarelo	2	5	8	529
2	1	amarelo	3	5	8	522
2	1	amarelo	4	5	7	443
2	1	amarelo	5	5	7	491
2	1	amarelo	6	5	5	334
2	2	branco	1	5	8	536
2	2	branco	2	5	8	533
2	2	branco	3	5	7	460
2	2	branco	4	5	8	512
2	2	branco	5	5	8	506
2	2	branco	6	5	6	414
2	3	vermelho	1	5	10	618
2	3	vermelho	2	5	7	481
2	3	vermelho	3	5	8	516
2	3	vermelho	4	5	6	370
2	3	vermelho	5	5	7	464
2	3	vermelho	6	5	7	469
2	4	azul	1	5	9	574
2	4	azul	2	5	8	536
2	4	azul	3	5	8	506
2	4	azul	4	5	5	328
2	4	azul	5	5	9	583
2	4	azul	6	5	8	488
2	5	verde	1	5	10	670
2	5	verde	2	5	6	383
2	5	verde	3	5	8	492
2	5	verde	4	5	6	383
2	5	verde	5	5	9	553
2	5	verde	6	5	9	583
2	1	amarelo	1	6	7	466
2	1	amarelo	2	6	8	514
2	1	amarelo	3	6	7	458
2	1	amarelo	4	6	8	523
2	1	amarelo	5	6	8	564
2	1	amarelo	6	6	6	405
2	2	branco	1	6	9	599
2	2	branco	2	6	9	595
2	2	branco	3	6	9	608
2	2	branco	4	6	8	534
2	2	branco	5	6	9	584
2	2	branco	6	6	6	366
2	3	vermelho	1	6	8	535
2	3	vermelho	2	6	9	581
2	3	vermelho	3	6	8	537
2	3	vermelho	4	6	9	628
2	3	vermelho	5	6	8	544
2	3	vermelho	6	6	10	637
2	4	azul	1	6	10	637
2	4	azul	2	6	9	598
2	4	azul	3	6	7	473
2	4	azul	4	6	10	655
2	4	azul	5	6	9	585
2	4	azul	6	6	6	370
2	5	verde	1	6	9	620
2	5	verde	2	6	5	327
2	5	verde	3	6	9	584
2	5	verde	4	6	9	593
2	5	verde	5	6	10	579
2	5	verde	6	6	9	577
2	1	amarelo	1	7	9	577
2	1	amarelo	2	7	8	551
2	1	amarelo	3	7	7	467
2	1	amarelo	4	7	6	378
2	1	amarelo	5	7	7	470
2	1	amarelo	6	7	5	327
2	2	branco	1	7	9	574
2	2	branco	2	7	8	545
2	2	branco	3	7	8	538
2	2	branco	4	7	7	450
2	2	branco	5	7	8	536
2	2	branco	6	7	5	375
2	3	vermelho	1	7	7	461
2	3	vermelho	2	7	7	498
2	3	vermelho	3	7	7	473
2	3	vermelho	4	7	6	338
2	3	vermelho	5	7	8	557
2	3	vermelho	6	7	6	397
2	4	azul	1	7	8	524
2	4	azul	2	7	8	530
2	4	azul	3	7	7	446
2	4	azul	4	7	10	656
2	4	azul	5	7	9	600
2	4	azul	6	7	9	598
2	5	verde	1	7	7	450
2	5	verde	2	7	8	554
2	5	verde	3	7	7	471
2	5	verde	4	7	7	444
2	5	verde	5	7	6	344
2	5	verde	6	7	9	594
2	1	amarelo	1	8	9	582
2	1	amarelo	2	8	10	636
2	1	amarelo	3	8	6	396
2	1	amarelo	4	8	8	502
2	1	amarelo	5	8	7	475
2	1	amarelo	6	8	6	395
2	2	branco	1	8	9	597
2	2	branco	2	8	8	523
2	2	branco	3	8	8	514
2	2	branco	4	8	8	539
2	2	branco	5	8	8	525
2	2	branco	6	8	6	402
2	3	vermelho	1	8	5	300
2	3	vermelho	2	8	8	542
2	3	vermelho	3	8	9	580
2	3	vermelho	4	8	7	463
2	3	vermelho	5	8	7	477
2	3	vermelho	6	8	7	451
2	4	azul	1	8	9	565
2	4	azul	2	8	9	598
2	4	azul	3	8	7	451
2	4	azul	4	8	7	458
2	4	azul	5	8	9	647
2	4	azul	6	8	7	434
2	5	verde	1	8	7	476
2	5	verde	2	8	7	460
2	5	verde	3	8	10	658
2	5	verde	4	8	7	439
2	5	verde	5	8	8	470
2	5	verde	6	8	8	514
2	1	amarelo	1	9	5	282
2	1	amarelo	2	9	8	520
2	1	amarelo	3	9	7	470
2	1	amarelo	4	9	9	569
2	1	amarelo	5	9	8	545
2	1	amarelo	6	9	6	373
2	2	branco	1	9	7	464
2	2	branco	2	9	9	582
2	2	branco	3	9	9	597
2	2	branco	4	9	7	492
2	2	branco	5	9	8	532
2	2	branco	6	9	8	530
2	3	vermelho	1	9	6	389
2	3	vermelho	2	9	8	502
2	3	vermelho	3	9	9	585
2	3	vermelho	4	9	8	522
2	3	vermelho	5	9	7	456
2	3	vermelho	6	9	6	337
2	4	azul	1	9	8	520
2	4	azul	2	9	8	521
2	4	azul	3	9	8	508
2	4	azul	4	9	6	421
2	4	azul	5	9	9	575
2	4	azul	6	9	6	388
2	5	verde	1	9	10	667
2	5	verde	2	9	9	585
2	5	verde	3	9	9	564
2	5	verde	4	9	9	593
2	5	verde	5	9	7	411
2	5	verde	6	9	8	511
2	1	amarelo	1	10	9	594
2	1	amarelo	2	10	7	441
2	1	amarelo	3	10	8	523
2	1	amarelo	4	10	7	438
2	1	amarelo	5	10	6	396
2	1	amarelo	6	10	6	366
2	2	branco	1	10	7	460
2	2	branco	2	10	7	457
2	2	branco	3	10	9	604
2	2	branco	4	10	7	442
2	2	branco	5	10	8	509
2	2	branco	6	10	6	404
2	3	vermelho	1	10	9	557
2	3	vermelho	2	10	7	486
2	3	vermelho	3	10	7	435
2	3	vermelho	4	10	8	520
2	3	vermelho	5	10	8	507
2	3	vermelho	6	10	6	368
2	4	azul	1	10	8	513
2	4	azul	2	10	8	531
2	4	azul	3	10	9	570
2	4	azul	4	10	8	525
2	4	azul	5	10	8	498
2	4	azul	6	10	8	484
2	5	verde	1	10	9	610
2	5	verde	2	10	5	330
2	5	verde	3	10	8	507
2	5	verde	4	10	9	582
2	5	verde	5	10	7	409
2	5	verde	6	10	9	564
2	1	amarelo	1	11	8	524
2	1	amarelo	2	11	10	653
2	1	amarelo	3	11	8	533
2	1	amarelo	4	11	9	552
2	1	amarelo	5	11	7	488
2	1	amarelo	6	11	4	249
2	2	branco	1	11	10	671
2	2	branco	2	11	8	538
2	2	branco	3	11	8	525
2	2	branco	4	11	10	666
2	2	branco	5	11	6	397
2	2	branco	6	11	6	397
2	3	vermelho	1	11	10	633
2	3	vermelho	2	11	6	405
2	3	vermelho	3	11	8	537
2	3	vermelho	4	11	9	578
2	3	vermelho	5	11	6	387
2	3	vermelho	6	11	6	375
2	4	azul	1	11	8	518
2	4	azul	2	11	8	511
2	4	azul	3	11	7	449
2	4	azul	4	11	8	528
2	4	azul	5	11	8	508
2	4	azul	6	11	7	455
2	5	verde	1	11	8	523
2	5	verde	2	11	6	389
2	5	verde	3	11	8	497
2	5	verde	4	11	10	640
2	5	verde	5	11	7	417
2	5	verde	6	11	8	499
2	1	amarelo	1	12	9	575
2	1	amarelo	2	12	8	526
2	1	amarelo	3	12	7	462
2	1	amarelo	4	12	8	522
2	1	amarelo	5	12	7	486
2	1	amarelo	6	12	5	333
2	2	branco	1	12	9	602
2	2	branco	2	12	9	593
2	2	branco	3	12	7	459
2	2	branco	4	12	9	579
2	2	branco	5	12	7	452
2	2	branco	6	12	6	389
2	3	vermelho	1	12	7	431
2	3	vermelho	2	12	7	490
2	3	vermelho	3	12	5	323
2	3	vermelho	4	12	6	385
2	3	vermelho	5	12	8	540
2	3	vermelho	6	12	6	404
2	4	azul	1	12	8	524
2	4	azul	2	12	8	519
2	4	azul	3	12	8	525
2	4	azul	4	12	8	518
2	4	azul	5	12	8	519
2	4	azul	6	12	8	496
2	5	verde	1	12	8	543
2	5	verde	2	12	6	401
2	5	verde	3	12	8	489
2	5	verde	4	12	9	589
2	5	verde	5	12	7	437
2	5	verde	6	12	8	502
2	1	amarelo	1	13	8	494
2	1	amarelo	2	13	7	455
2	1	amarelo	3	13	8	540
2	1	amarelo	4	13	7	442
2	1	amarelo	5	13	8	572
2	1	amarelo	6	13	4	266
2	2	branco	1	13	9	599
2	2	branco	2	13	9	621
2	2	branco	3	13	6	410
2	2	branco	4	13	9	584
2	2	branco	5	13	6	395
2	2	branco	6	13	4	275
2	3	vermelho	1	13	6	382
2	3	vermelho	2	13	7	487
2	3	vermelho	3	13	10	643
2	3	vermelho	4	13	6	378
2	3	vermelho	5	13	5	334
2	3	vermelho	6	13	6	407
2	4	azul	1	13	10	650
2	4	azul	2	13	7	454
2	4	azul	3	13	7	458
2	4	azul	4	13	8	520
2	4	azul	5	13	9	578
2	4	azul	6	13	5	324
2	5	verde	1	13	8	524
2	5	verde	2	13	5	318
2	5	verde	3	13	7	431
2	5	verde	4	13	7	457
2	5	verde	5	13	7	428
2	5	verde	6	13	7	446
2	1	amarelo	1	14	9	553
2	1	amarelo	2	14	6	420
2	1	amarelo	3	14	7	427
2	1	amarelo	4	14	5	320
2	1	amarelo	5	14	6	384
2	1	amarelo	6	14	6	402
2	2	branco	1	14	10	630
2	2	branco	2	14	7	504
2	2	branco	3	14	9	584
2	2	branco	4	14	9	551
2	2	branco	5	14	7	511
2	2	branco	6	14	6	432
2	3	vermelho	1	14	7	444
2	3	vermelho	2	14	7	490
2	3	vermelho	3	14	8	533
2	3	vermelho	4	14	6	336
2	3	vermelho	5	14	6	390
2	3	vermelho	6	14	6	384
2	4	azul	1	14	8	517
2	4	azul	2	14	8	530
2	4	azul	3	14	7	504
2	4	azul	4	14	9	558
2	4	azul	5	14	9	542
2	4	azul	6	14	9	596
2	5	verde	1	14	10	682
2	5	verde	2	14	8	520
2	5	verde	3	14	8	472
2	5	verde	4	14	8	512
2	5	verde	5	14	8	480
2	5	verde	6	14	5	476
3	1	azul	1	1	8	563
3	1	azul	2	1	7	499
3	1	azul	3	1	8	531
3	1	azul	4	1	9	586
3	1	azul	5	1	7	498
3	1	azul	6	1	6	349
3	2	verde	1	1	6	442
3	2	verde	2	1	9	601
3	2	verde	3	1	10	636
3	2	verde	4	1	7	453
3	2	verde	5	1	7	429
3	2	verde	6	1	7	484
3	3	branco	1	1	9	586
3	3	branco	2	1	8	579
3	3	branco	3	1	7	478
3	3	branco	4	1	8	548
3	3	branco	5	1	7	468
3	3	branco	6	1	7	399
3	4	vermelho	1	1	8	573
3	4	vermelho	2	1	8	562
3	4	vermelho	3	1	7	446
3	4	vermelho	4	1	7	428
3	4	vermelho	5	1	9	599
3	4	vermelho	6	1	8	479
3	5	amarelo	1	1	8	498
3	5	amarelo	2	1	8	527
3	5	amarelo	3	1	7	496
3	5	amarelo	4	1	7	465
3	5	amarelo	5	1	9	590
3	5	amarelo	6	1	8	545
3	1	azul	1	2	8	522
3	1	azul	2	2	7	451
3	1	azul	3	2	6	396
3	1	azul	4	2	8	506
3	1	azul	5	2	9	644
3	1	azul	6	2	2	127
3	2	verde	1	2	8	548
3	2	verde	2	2	7	513
3	2	verde	3	2	9	585
3	2	verde	4	2	7	459
3	2	verde	5	2	8	531
3	2	verde	6	2	4	288
3	3	branco	1	2	8	492
